ranker,sigma,n,bits,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSNarrow",2,1024000,1.313,10.17,3.65,4.14,1.71,0.97,0.70,1.04,0.59,0.70
"RSWide",2,1024000,1.040,21.47,13.71,14.09,3.57,2.28,2.33,2.23,1.84,1.93
"CondensedTextWithRankSupport<i64>",2,1024000,1.503,11.69,3.93,5.44,2.02,0.69,1.24,1.25,0.64,0.98
"CondensedTextWithRankSupport<i64, Block512>",2,1024000,1.066,19.68,7.72,9.42,3.34,1.62,1.70,1.95,1.39,1.72
"RankSelect101111",2,1024000,1.032,16.29,11.67,12.90,2.79,1.96,2.37,1.95,1.50,1.79
"RsVec",2,1024000,1.047,19.81,17.06,0,3.32,2.72,0,2.26,2.13,0
"Rank9",2,1024000,1.250,11.21,3.04,3.06,1.90,0.53,0.52,1.05,0.48,0.53
"RankSmall<1, 9>",2,1024000,1.126,12.86,7.42,7.75,2.14,1.23,1.29,1.34,1.05,1.12
"RankSmall<2, 9>",2,1024000,1.188,11.68,3.52,3.57,1.98,0.61,0.64,1.11,0.55,0.60
"RankSmall<1, 10>",2,1024000,1.063,15.07,10.71,11.07,2.72,1.85,1.93,1.66,1.54,1.63
"RankSmall<1, 11>",2,1024000,1.032,17.19,13.05,13.65,2.87,2.23,2.32,1.97,1.81,2.00
"RankSmall<3, 13>",2,1024000,1.016,19.54,16.73,17.81,3.49,2.82,3.20,2.60,2.44,2.61
"Ranker<Spider, HalfSB>",2,1024000,1.033,22.69,16.81,17.45,3.82,2.90,2.76,2.32,1.89,2.08
"Ranker<BinaryBlock1, HalfSB>",2,1024000,1.333,13.69,4.49,4.10,2.32,0.77,0.69,1.44,0.71,0.69
"Ranker<BinaryBlock2, HalfSB>",2,1024000,1.143,13.72,5.02,4.82,2.30,0.87,0.81,1.30,0.81,0.80
"Ranker<BinaryBlock4, HalfSB>",2,1024000,1.068,13.53,4.92,5.06,2.30,1.19,0.80,1.30,0.77,0.80
"Ranker<BinaryBlock6, HalfSB>",2,1024000,1.033,19.02,6.46,6.68,3.31,1.08,1.40,1.78,0.96,1.05
"RSNarrow",2,32000000000,1.313,98.46,22.66,16.42,18.76,7.51,6.18,10.14,5.80,5.48
"RSWide",2,32000000000,1.039,98.63,44.95,17.77,19.13,11.02,6.58,10.24,8.69,5.49
"CondensedTextWithRankSupport<i64>",2,32000000000,1.502,97.03,20.81,18.18,18.74,6.10,5.56,10.36,5.60,5.46
"CondensedTextWithRankSupport<i64, Block512>",2,32000000000,1.064,99.81,33.40,19.03,18.77,9.31,5.70,10.35,6.95,5.51
"RankSelect101111",2,32000000000,1.031,91.29,26.57,21.91,17.42,8.12,6.10,9.55,6.48,5.43
"RsVec",2,32000000000,1.047,100.05,37.81,0,19.85,11.70,0,10.95,8.89,0
"Rank9",2,32000000000,1.250,90.59,17.62,15.23,17.00,5.76,5.04,9.38,5.26,4.91
"RankSmall<1, 9>",2,32000000000,1.125,90.10,21.77,15.15,17.22,6.88,5.36,9.37,5.77,4.91
"RankSmall<2, 9>",2,32000000000,1.188,90.74,19.39,16.79,16.99,6.39,5.40,9.53,5.71,5.20
"RankSmall<1, 10>",2,32000000000,1.063,91.83,27.90,20.81,17.81,9.50,6.09,9.92,6.82,5.56
"RankSmall<1, 11>",2,32000000000,1.031,92.94,33.83,23.37,18.23,11.12,6.45,9.84,7.73,5.70
"RankSmall<3, 13>",2,32000000000,1.016,96.97,48.33,34.74,19.47,12.92,8.72,11.12,10.38,8.32
"Ranker<Spider, HalfSB>",2,32000000000,1.033,91.12,29.09,18.05,16.00,7.39,3.11,8.36,5.21,2.80
"Ranker<BinaryBlock1, HalfSB>",2,32000000000,1.333,90.20,17.51,7.88,15.53,6.18,2.67,8.41,4.12,2.60
"Ranker<BinaryBlock2, HalfSB>",2,32000000000,1.143,88.93,20.47,8.00,15.37,6.33,2.64,8.27,4.49,2.60
"Ranker<BinaryBlock4, HalfSB>",2,32000000000,1.067,90.46,20.37,9.65,15.55,5.93,2.77,8.32,4.37,2.62
"Ranker<BinaryBlock6, HalfSB>",2,32000000000,1.033,94.33,25.86,10.15,16.15,6.69,2.72,8.55,5.09,2.63
