ranker,sigma,n,rel_size,count4,cache_misses_0,cache_misses_1,cache_misses_2
"RSNarrow",2,34359738368,1.250,0,2.05216,2.09359,2.46213
"RSWide",2,34359738368,1.031,0,1.99586,1.99730,2.00539
"CondensedTextWithRankSupport<i64>",2,34359738368,1.502,0,3.73660,3.83238,3.85504
"CondensedTextWithRankSupport<i64, Block512>",2,34359738368,1.064,0,3.27710,3.29255,3.29764
"RankSelect101111",2,34359738368,1.031,0,2.25207,2.25881,2.26826
"Rank9",2,34359738368,1.250,0,2.05483,2.05750,2.05837
"RankSmall<2, 9>",2,34359738368,1.188,0,2.17988,2.18052,2.18055
"RankSmall<1, 9>",2,34359738368,1.125,0,2.03806,2.03847,2.04082
"RankSmall<1, 10>",2,34359738368,1.063,0,2.25693,2.26376,2.27410
"RankSmall<1, 11>",2,34359738368,1.031,0,2.11958,2.12484,2.13464
"RankSmall<3, 13>",2,34359738368,1.016,0,2.31699,2.32792,2.36924
"BiRank<BinaryBlock64x2>",2,34359738368,1.333,0,1.01718,1.01770,1.01786
"BiRank<BinaryBlock32x2>",2,34359738368,1.143,0,1.01593,1.01642,1.01746
"BiRank<BinaryBlock16x2>",2,34359738368,1.067,0,1.02921,1.03396,1.05242
"BiRank",2,34359738368,1.033,0,1.02158,1.02184,1.02963
"BiRank<BinaryBlock16Spider>",2,34359738368,1.033,0,1.02107,1.02369,1.02969
"RSQVector<RSSupportPlain>",4,17179869184,1.125,1,2.00343,2.03494,2.03610
"RSQVector<RSSupportPlain>",4,17179869184,1.125,0,2.01742,2.01853,2.01993
"RSQVector<RSSupportPlain<512>>",4,17179869184,1.063,1,2.35296,2.37320,2.38010
"RSQVector<RSSupportPlain<512>>",4,17179869184,1.063,0,2.22991,2.23274,2.23468
"FlatTextWithRankSupport<i64>",4,17179869184,2.669,1,2.02367,2.02591,2.06335
"FlatTextWithRankSupport<i64>",4,17179869184,2.669,0,1.38434,1.40803,1.46708
"FlatTextWithRankSupport<i64, Block512>",4,17179869184,2.066,1,2.32579,2.35598,2.44931
"FlatTextWithRankSupport<i64, Block512>",4,17179869184,2.066,0,1.35641,1.36437,1.40121
"CondensedTextWithRankSupport<i64>",4,17179869184,1.502,1,2.58566,2.61616,2.67114
"CondensedTextWithRankSupport<i64>",4,17179869184,1.502,0,2.46109,2.73875,2.81674
"CondensedTextWithRankSupport<i64, Block512>",4,17179869184,1.064,1,3.41436,3.41614,3.42412
"CondensedTextWithRankSupport<i64, Block512>",4,17179869184,1.064,0,3.34373,3.48942,3.49983
"QuadRank<QuadBlock64>",4,17179869184,2.000,1,1.01767,1.01784,1.01785
"QuadRank<QuadBlock64>",4,17179869184,2.000,0,1.01459,1.01480,1.01511
"QuadRank<QuadBlock24_8>",4,17179869184,1.333,1,1.00989,1.01015,1.01051
"QuadRank<QuadBlock24_8>",4,17179869184,1.333,0,1.01046,1.01101,1.01144
"QuadRank",4,17179869184,1.144,1,1.05608,1.06969,1.19470
"QuadRank",4,17179869184,1.144,0,1.05561,1.06436,1.09956
