ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12
"RSNarrow",2,8192,1.344,0,7.49,3.29,4.13,1.33,0.92,0.74,0.77,0.60,0.72
"RSWide",2,8192,1.133,0,20.21,13.56,14.29,3.34,2.28,2.38,2.15,1.89,2.04
"CondensedTextWithRankSupport<i64>",2,8192,1.613,0,6.82,3.05,7.26,1.36,0.78,1.66,0.68,0.51,1.19
"CondensedTextWithRankSupport<i64, Block512>",2,8192,1.230,0,15.08,6.56,10.31,2.66,1.37,2.67,1.51,1.26,2.00
"RankSelect101111",2,8192,1.086,0,15.11,11.78,13.09,2.89,2.31,2.21,1.97,1.66,1.83
"Rank9",2,8192,1.312,0,6.13,2.35,3.04,1.13,0.52,0.62,0.61,0.45,0.53
"RankSmall<1, 9>",2,8192,1.203,0,10.89,7.28,7.87,1.93,1.22,1.33,1.34,1.45,1.15
"RankSmall<2, 9>",2,8192,1.266,0,6.74,2.83,3.54,1.13,0.86,0.63,0.68,0.46,0.61
"RankSmall<1, 10>",2,8192,1.141,0,14.59,10.59,11.23,2.42,1.85,1.99,1.66,1.52,1.70
"RankSmall<1, 11>",2,8192,1.109,0,15.97,12.90,13.48,2.69,2.23,2.35,1.90,1.83,1.98
"RankSmall<3, 13>",2,8192,1.094,0,20.77,16.41,17.52,3.47,2.92,3.00,2.55,2.45,2.60
"Ranker<BinaryBlock64x2>",2,8192,1.375,0,10.71,3.54,4.06,1.91,0.70,0.79,1.26,0.62,0.72
"Ranker<BinaryBlock32x2>",2,8192,1.191,0,11.08,4.07,4.80,1.93,0.82,0.83,1.05,0.68,0.81
"Ranker<BinaryBlock16x2>",2,8192,1.129,0,11.03,3.84,5.04,1.91,0.76,0.83,1.02,0.62,0.81
"Ranker<BinaryBlock16>",2,8192,1.066,0,15.95,5.69,6.34,2.87,1.09,1.10,1.52,0.85,1.05
