ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_3,loop_3,stream_3,latency_6,loop_6,stream_6,latency_12,loop_12,stream_12,latency_24,loop_24,stream_24,latency_48,loop_48,stream_48,latency_96,loop_96,stream_96,latency_192,loop_192,stream_192
"RSNarrow",2,65536,1.262,0,4.40486,2.01747,2.53108,1.46753,0.67534,0.84748,0.73555,0.33813,0.42292,0.36821,0.17028,0.21320,0.18548,0.08641,0.10763,0.09478,0.04691,0.05903,0.05405,0.03340,0.03806,0.03994,0.03300,0.03808
"RSWide",2,65536,1.044,0,10.98471,3.93499,4.63676,3.66730,1.31444,1.54720,1.83848,0.66023,0.77797,0.92034,0.33220,0.39120,0.46530,0.17068,0.19881,0.23749,0.09120,0.10528,0.12786,0.06564,0.07220,0.08747,0.05150,0.06092
"CondensedTextWithRankSupport<i64>",2,65536,1.516,0,4.40414,1.79662,4.74974,1.47236,0.60221,1.58873,0.73779,0.30251,0.80336,0.36986,0.15154,0.40068,0.18635,0.07712,0.20204,0.09503,0.04397,0.10388,0.05445,0.03297,0.06420,0.03898,0.03438,0.06236
"CondensedTextWithRankSupport<i64, Block512>",2,65536,1.085,0,10.49596,3.28448,5.65463,3.50599,1.12507,1.90108,1.75452,0.56397,0.95385,0.87794,0.28081,0.47056,0.44075,0.14142,0.24123,0.22609,0.08150,0.13071,0.12248,0.05293,0.08297,0.08112,0.05326,0.08384
"RankSelect101111",2,65536,1.038,0,8.44088,7.71816,8.92500,2.81970,2.57912,2.98256,1.41078,1.29047,1.49343,0.70721,0.64598,0.75759,0.35911,0.32929,0.38081,0.18178,0.16743,0.19337,0.10904,0.09900,0.11713,0.07824,0.07259,0.09252
"Rank9",2,65536,1.258,0,3.89956,1.41739,1.96419,1.30276,0.47740,0.65938,0.65363,0.25346,0.33010,0.32765,0.12964,0.16630,0.17865,0.06710,0.08470,0.08936,0.03669,0.04621,0.04879,0.03140,0.03405,0.03583,0.03111,0.03349
"RankSmall<2, 9>",2,65536,1.197,0,4.24756,1.60426,2.21921,1.41423,0.54498,0.74328,0.71091,0.27297,0.37237,0.35533,0.13806,0.18711,0.17941,0.07128,0.09493,0.09192,0.04025,0.05239,0.05188,0.03203,0.03607,0.03705,0.03191,0.03528
"RankSmall<1, 9>",2,65536,1.135,0,6.35284,4.82221,5.45192,2.12368,1.61532,1.82022,1.06363,0.80922,0.91180,0.53222,0.40620,0.45637,0.26782,0.20439,0.23151,0.13706,0.10613,0.11954,0.08303,0.06531,0.07382,0.05459,0.04957,0.05760
"RankSmall<1, 10>",2,65536,1.072,0,9.33613,7.62727,8.18091,3.11979,2.54644,2.73007,1.56118,1.27459,1.36959,0.78137,0.63835,0.69314,0.39711,0.32524,0.34937,0.20130,0.16565,0.17789,0.11881,0.09999,0.10794,0.07816,0.07454,0.08168
"RankSmall<1, 11>",2,65536,1.041,0,10.71080,9.47500,9.61964,3.57409,3.16215,3.20941,1.78907,1.58385,1.61137,0.89487,0.79558,0.81653,0.45483,0.40372,0.41028,0.23056,0.20498,0.20812,0.13528,0.12217,0.12605,0.09404,0.08970,0.09742
"RankSmall<3, 13>",2,65536,1.025,0,13.61245,12.24986,12.61576,4.54080,4.08523,4.20785,2.27590,2.14454,2.10701,1.13840,1.08830,1.06832,0.57944,0.54794,0.54064,0.29311,0.27741,0.27218,0.17221,0.16204,0.16282,0.12483,0.11922,0.13134
"Ranker<BinaryBlock64x2>",2,65536,1.336,0,8.54020,2.06911,2.52327,2.85376,0.69445,0.84520,1.42840,0.34915,0.42517,0.71465,0.17567,0.21276,0.35889,0.08949,0.10925,0.18326,0.04811,0.05884,0.09521,0.03404,0.03824,0.05832,0.03369,0.03794
"Ranker<BinaryBlock32x2>",2,65536,1.149,0,8.86441,2.26720,2.76732,2.95736,0.76017,0.92573,1.48146,0.38108,0.46298,0.74094,0.19210,0.23276,0.37197,0.09803,0.11905,0.19015,0.05414,0.06310,0.09932,0.03577,0.04192,0.05994,0.03591,0.04149
