ranker,sigma,n,rel_size,count4,latency_1,loop_1,stream_1,latency_48,loop_48,stream_48,latency_96,loop_96,stream_96
"RSNarrow",2,1048576,1.251,0,6.90041,2.16989,2.54775,0.14636,0.05187,0.06108,0.07879,0.03533,0.03891
"RSWide",2,1048576,1.032,0,11.73558,3.93409,4.63029,0.24767,0.09112,0.10630,0.13607,0.05912,0.06673
"FlatTextWithRankSupport<i64, Block512>",2,1048576,2.068,0,14.12833,2.92583,4.11534,0.29647,0.07251,0.09899,0.15547,0.04753,0.06507
"CondensedTextWithRankSupport<i64>",2,1048576,1.503,0,6.91645,1.99695,4.76453,0.14725,0.05095,0.10652,0.08018,0.03561,0.06623
"CondensedTextWithRankSupport<i64, Block512>",2,1048576,1.066,0,12.12136,3.41632,5.67943,0.25571,0.08445,0.13250,0.13988,0.05442,0.08326
"RankSelect101111",2,1048576,1.032,0,8.81931,7.70284,8.88943,0.19273,0.16973,0.19256,0.11540,0.10151,0.11649
"Rank9",2,1048576,1.250,0,6.32189,1.64552,2.00311,0.13482,0.04518,0.04966,0.07278,0.03329,0.03443
"RankSmall<2, 9>",2,1048576,1.188,0,6.61861,1.83109,2.25871,0.14084,0.04648,0.05479,0.07614,0.03341,0.03588
"RankSmall<1, 9>",2,1048576,1.126,0,7.64467,4.88108,5.45587,0.16268,0.10790,0.12137,0.09705,0.06718,0.07558
"RankSmall<1, 10>",2,1048576,1.063,0,9.70407,7.65042,8.12080,0.20588,0.16587,0.17717,0.12319,0.09971,0.10676
"RankSmall<1, 11>",2,1048576,1.032,0,10.68968,9.02970,9.64793,0.22684,0.19485,0.20723,0.13595,0.11662,0.12701
"RankSmall<3, 13>",2,1048576,1.016,0,13.38271,11.55044,12.36542,0.28493,0.24935,0.26817,0.17043,0.15010,0.16118
"Ranker<BinaryBlock64x2>",2,1048576,1.334,0,10.78528,2.16232,2.58412,0.22727,0.05063,0.06151,0.11721,0.03526,0.03949
"Ranker<BinaryBlock32x2>",2,1048576,1.143,0,10.96864,2.40933,2.79447,0.23131,0.05740,0.06449,0.12033,0.03734,0.04216
"Ranker<BinaryBlock16x2>",2,1048576,1.067,0,10.92664,2.25213,3.02699,0.23046,0.05413,0.06949,0.11925,0.03615,0.04481
"Ranker<BinaryBlock16>",2,1048576,1.033,0,12.77979,2.53298,3.29234,0.26917,0.06097,0.07692,0.14016,0.03949,0.04937
"Ranker<BinaryBlock16Spider>",2,1048576,1.033,0,11.77934,9.98712,10.33426,0.24738,0.21476,0.22147,0.14751,0.12938,0.13555
"RSQVector<RSSupportPlain>",4,524288,1.127,1,14.31195,14.03804,14.15463,0.30638,0.30052,0.30618,0.18327,0.18026,0.18250
"RSQVector<RSSupportPlain>",4,524288,1.127,0,9.56296,6.87671,6.95900,0.20149,0.14598,0.15093,0.11457,0.08865,0.09191
"RSQVector<RSSupportPlain<512>>",4,524288,1.064,1,29.01872,29.00857,29.59709,0.61443,0.62307,0.63897,0.36342,0.36299,0.37107
"RSQVector<RSSupportPlain<512>>",4,524288,1.064,0,12.96620,11.66688,12.17210,0.27936,0.25041,0.26212,0.16851,0.15529,0.16208
"FlatTextWithRankSupport<i64>",4,524288,2.669,1,11.44258,1.97433,4.24364,0.24051,0.04992,0.10078,0.12770,0.03674,0.06681
"FlatTextWithRankSupport<i64>",4,524288,2.669,0,8.56665,2.48604,4.18991,0.18094,0.05875,0.09439,0.09604,0.04012,0.06177
"FlatTextWithRankSupport<i64, Block512>",4,524288,2.069,1,19.83563,8.89631,9.42164,0.41739,0.21146,0.23250,0.24642,0.14549,0.16136
"FlatTextWithRankSupport<i64, Block512>",4,524288,2.069,0,15.12511,3.16682,4.58015,0.31788,0.07571,0.10944,0.16582,0.05105,0.07143
"CondensedTextWithRankSupport<i64>",4,524288,1.503,1,9.44449,8.39780,9.83235,0.20479,0.18611,0.21841,0.12678,0.11605,0.13613
"CondensedTextWithRankSupport<i64>",4,524288,1.503,0,7.52528,3.11978,5.66230,0.15983,0.07179,0.12498,0.08747,0.04688,0.07874
"CondensedTextWithRankSupport<i64, Block512>",4,524288,1.066,1,15.57146,9.27440,12.14817,0.33030,0.21760,0.28371,0.20385,0.14045,0.17441
"CondensedTextWithRankSupport<i64, Block512>",4,524288,1.066,0,17.67967,9.18719,11.84255,0.37366,0.20378,0.26153,0.22755,0.12678,0.16304
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,524288,2.001,1,13.91688,2.08676,2.21524,0.29346,0.05686,0.05828,0.15298,0.03714,0.03980
"Ranker<QuadBlock64, ShiftSB, SimdCount11B>",4,524288,2.001,0,8.01583,2.50199,2.77341,0.16987,0.05966,0.06475,0.09356,0.03924,0.04240
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,524288,1.334,1,16.22418,2.80966,3.83651,0.34143,0.06826,0.09020,0.17797,0.04744,0.05825
"Ranker<QuadBlock24_8, ShiftSB, SimdCount11B>",4,524288,1.334,0,9.75365,3.59546,4.12026,0.20591,0.08171,0.09179,0.11242,0.05173,0.05911
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,524288,1.144,1,16.69195,3.51400,4.10857,0.35134,0.08412,0.09876,0.18636,0.05590,0.06496
"Ranker<QuadBlock16, ShiftSB, NoCount>",4,524288,1.144,0,10.60163,4.34289,4.81049,0.22438,0.09570,0.10816,0.12128,0.05974,0.06752
"RSNarrow",2,34359738368,1.250,0,162.98219,27.76888,19.27855,3.64424,0.74984,0.57585,1.94868,0.52191,0.47463
"RSWide",2,34359738368,1.031,0,152.74516,31.00530,19.06272,3.39860,0.79356,0.48715,1.80360,0.46822,0.36746
"FlatTextWithRankSupport<i64, Block512>",2,34359738368,2.066,0,146.62836,24.65179,14.94102,3.21489,0.64788,0.59820,1.69045,0.63135,0.61948
"CondensedTextWithRankSupport<i64>",2,34359738368,1.502,0,148.41352,25.97207,23.62666,3.43411,0.74398,0.65446,1.86548,0.54274,0.53078
"CondensedTextWithRankSupport<i64, Block512>",2,34359738368,1.064,0,151.23213,30.74709,24.23138,3.40511,0.80997,0.61502,1.82320,0.51953,0.44787
"RankSelect101111",2,34359738368,1.031,0,144.51619,36.11348,26.88130,3.27689,0.86833,0.66725,1.75232,0.54160,0.44786
"Rank9",2,34359738368,1.250,0,145.23706,22.10096,19.58034,3.34525,0.64865,0.57737,1.81891,0.49115,0.47142
"RankSmall<2, 9>",2,34359738368,1.188,0,143.16594,23.55301,20.69182,3.37892,0.71589,0.62135,1.84466,0.53181,0.50009
"RankSmall<1, 9>",2,34359738368,1.125,0,145.31434,29.42455,20.72308,3.33677,0.79732,0.58539,1.80761,0.52257,0.45983
"RankSmall<1, 10>",2,34359738368,1.063,0,147.70804,39.45327,27.70771,3.36272,1.00332,0.70433,1.80589,0.63832,0.50520
"RankSmall<1, 11>",2,34359738368,1.031,0,145.95976,46.19134,30.95669,3.26411,1.08770,0.73947,1.73230,0.64804,0.47358
"RankSmall<3, 13>",2,34359738368,1.016,0,152.73343,66.44485,55.50619,3.50422,1.57671,1.32062,1.85526,0.94883,0.73547
"Ranker<BinaryBlock64x2>",2,34359738368,1.333,0,137.74377,19.53901,11.75897,2.96739,0.49889,0.32820,1.58091,0.30648,0.25537
"Ranker<BinaryBlock32x2>",2,34359738368,1.143,0,138.10677,24.00893,12.33012,2.97245,0.59818,0.33443,1.57541,0.34456,0.25559
"Ranker<BinaryBlock16x2>",2,34359738368,1.067,0,136.20093,22.22183,13.38197,3.00585,0.53882,0.35341,1.57604,0.32807,0.25935
"Ranker<BinaryBlock16>",2,34359738368,1.033,0,137.75908,24.47117,14.41198,3.00574,0.58770,0.37171,1.58156,0.32923,0.26017
"Ranker<BinaryBlock16Spider>",2,34359738368,1.033,0,133.43217,33.90212,12.04687,2.94516,0.77729,0.31676,1.54978,0.44081,0.25941
